epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0249,3.7978,4.78869,4.18749,0.00013,0.03788,7e-05,1e-05,3.5146,4.46961,4.24666,0.00065873,0.00065873,0.00065873
2,23.3843,3.06959,3.58577,3.44086,0.209,0.29545,0.17376,0.06908,2.60964,5.75259,3.62959,0.00131665,0.00131665,0.00131665
3,34.5777,2.77975,3.17444,3.0973,0.26715,0.23485,0.15944,0.0579,2.62537,4.14849,3.30264,0.00196577,0.00196577,0.00196577
4,45.8575,2.56147,2.96345,2.88865,0.28066,0.24242,0.20894,0.09032,2.15243,2.85226,2.83558,0.0019604,0.0019604,0.0019604
5,57.0018,2.58188,2.79016,2.8429,0.34158,0.27119,0.2236,0.10609,2.05847,2.5972,2.72755,0.0019472,0.0019472,0.0019472
6,68.1923,2.38304,2.60468,2.68824,0.44862,0.34091,0.32575,0.13962,2.14234,2.79145,2.70612,0.001934,0.001934,0.001934
7,79.439,2.36193,2.55079,2.63982,0.38618,0.34848,0.32144,0.16201,2.13239,2.5955,2.71046,0.0019208,0.0019208,0.0019208
8,90.6209,2.30807,2.4602,2.59653,0.55056,0.2803,0.34709,0.14869,2.21022,2.68034,2.78932,0.0019076,0.0019076,0.0019076
9,102.125,2.2349,2.40109,2.51662,0.39441,0.40909,0.34337,0.17459,2.06163,2.49943,2.66006,0.0018944,0.0018944,0.0018944
10,113.546,2.21375,2.40348,2.48486,0.50709,0.38971,0.41998,0.20818,1.98156,2.30929,2.49089,0.0018812,0.0018812,0.0018812
11,124.909,2.12633,2.20935,2.40405,0.39984,0.4697,0.34819,0.15787,1.90866,2.75615,2.44077,0.001868,0.001868,0.001868
12,136.486,2.12224,2.26122,2.4106,0.41342,0.31818,0.33321,0.15586,2.06921,3.12495,2.59509,0.0018548,0.0018548,0.0018548
13,147.24,2.00214,2.19297,2.32418,0.553,0.46212,0.48058,0.23792,1.83045,2.2505,2.42389,0.0018416,0.0018416,0.0018416
14,158.444,2.01854,2.17823,2.30746,0.40366,0.38636,0.32164,0.14818,1.91349,2.38478,2.49507,0.0018284,0.0018284,0.0018284
15,169.946,1.94792,1.9789,2.26038,0.57393,0.3878,0.4425,0.22135,1.81802,2.28705,2.40297,0.0018152,0.0018152,0.0018152
16,181.265,1.92405,2.01236,2.2308,0.66549,0.54545,0.59369,0.31476,1.72193,2.07961,2.31787,0.001802,0.001802,0.001802
17,192.525,1.92468,2.0257,2.25269,0.75247,0.41667,0.52266,0.25714,1.91647,2.21609,2.42922,0.0017888,0.0017888,0.0017888
18,203.691,1.86298,1.87611,2.17427,0.59119,0.47727,0.48925,0.27739,1.7011,2.81227,2.29668,0.0017756,0.0017756,0.0017756
19,215.325,1.83056,1.86383,2.17573,0.60511,0.57576,0.58328,0.33812,1.615,1.80667,2.17974,0.0017624,0.0017624,0.0017624
20,226.822,1.78587,1.808,2.14438,0.76076,0.49242,0.62751,0.34516,1.56718,1.94152,2.15595,0.0017492,0.0017492,0.0017492
