epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2625,7.34305,18.7988,8.39195,0,0,0,0,7.10821,19.7321,8.52414,0.00065873,0.00065873,0.00065873
2,23.6695,5.9338,13.0785,7.06579,0.00146,0.43939,0.00964,0.00214,5.9208,89.138,10.9182,0.00131665,0.00131665,0.00131665
3,35.1814,5.48541,9.76624,6.13692,0.05768,0.03788,0.02239,0.00736,5.56271,7.44066,7.44266,0.00196577,0.00196577,0.00196577
4,46.5493,4.97947,7.86919,5.55671,0.32323,0.23485,0.19395,0.06703,4.72713,7.33154,6.6946,0.0019604,0.0019604,0.0019604
5,57.7768,4.87015,6.77274,5.31743,0.23693,0.33333,0.20837,0.08547,4.46792,5.52911,5.22854,0.0019472,0.0019472,0.0019472
6,69.0015,4.52555,6.18164,5.06106,0.33075,0.31061,0.25448,0.0971,4.25548,4.96468,5.16968,0.001934,0.001934,0.001934
7,80.2565,4.41104,5.72149,4.94575,0.28658,0.24242,0.18511,0.07875,4.03583,5.19211,5.08694,0.0019208,0.0019208,0.0019208
8,91.3157,4.28151,5.58049,4.84977,0.32265,0.29545,0.23502,0.11227,3.80728,4.86188,4.89264,0.0019076,0.0019076,0.0019076
9,102.658,4.15495,5.38083,4.70936,0.52616,0.39394,0.39637,0.16923,3.65907,4.70955,4.75138,0.0018944,0.0018944,0.0018944
10,114.203,4.08964,5.20079,4.6574,0.48166,0.40909,0.38687,0.17395,3.73988,4.47491,4.72661,0.0018812,0.0018812,0.0018812
11,125.552,3.91387,4.76665,4.43092,0.4662,0.42424,0.40452,0.18618,3.61194,4.41197,4.56472,0.001868,0.001868,0.001868
12,137.189,3.89812,4.84696,4.45176,0.46203,0.31061,0.35368,0.17951,3.54948,4.31908,4.52373,0.0018548,0.0018548,0.0018548
13,148.096,3.78931,4.65995,4.35541,0.38889,0.41462,0.35406,0.18115,3.52842,4.32539,4.64253,0.0018416,0.0018416,0.0018416
14,160.124,3.67859,4.58845,4.2023,0.43388,0.38323,0.3872,0.18893,3.43369,4.14442,4.457,0.0018284,0.0018284,0.0018284
15,171.416,3.65766,4.41817,4.23184,0.40584,0.44697,0.36474,0.17545,3.42988,4.64541,4.46259,0.0018152,0.0018152,0.0018152
16,182.577,3.59057,4.29628,4.15237,0.46429,0.37879,0.38298,0.19929,3.38611,4.04538,4.10897,0.001802,0.001802,0.001802
17,193.82,3.51837,4.2021,4.09845,0.48883,0.44193,0.46615,0.24665,3.21953,3.90338,4.23251,0.0017888,0.0017888,0.0017888
18,204.862,3.48634,3.9994,4.03987,0.47742,0.49242,0.4622,0.25016,3.18811,3.98166,4.17962,0.0017756,0.0017756,0.0017756
19,216.377,3.4969,4.06059,4.08754,0.51444,0.49242,0.48488,0.29427,3.04633,3.50164,4.10166,0.0017624,0.0017624,0.0017624
20,227.768,3.41744,3.93725,3.97309,0.44537,0.4697,0.44763,0.24048,3.21086,3.62033,4.15595,0.0017492,0.0017492,0.0017492
21,239.282,3.3613,3.91896,3.95034,0.4886,0.456,0.45547,0.25173,3.0481,3.69833,4.10895,0.001736,0.001736,0.001736
22,250.495,3.2898,3.78989,3.85722,0.57722,0.52273,0.5689,0.28684,3.18165,3.34473,4.03469,0.0017228,0.0017228,0.0017228
