epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.584,3.79065,5.13241,4.14289,0.00013,0.03788,7e-05,2e-05,3.46272,4.79568,4.17629,0.00065873,0.00065873,0.00065873
2,24.0577,3.12693,4.07087,3.484,0.17964,0.28788,0.10005,0.03274,2.58041,5.64542,3.85876,0.00131665,0.00131665,0.00131665
3,35.2305,2.82893,3.41061,3.06298,0.24141,0.2803,0.21015,0.06179,2.47692,3.14885,3.49449,0.00196577,0.00196577,0.00196577
4,46.2388,2.6665,3.07458,2.86966,0.23719,0.22727,0.13388,0.05072,2.43311,2.92461,3.01139,0.0019604,0.0019604,0.0019604
5,57.4687,2.58835,2.84244,2.7868,0.45399,0.2803,0.27482,0.12039,2.26386,2.9047,2.77573,0.0019472,0.0019472,0.0019472
6,68.6834,2.36015,2.59169,2.62173,0.44737,0.37412,0.36008,0.13539,2.12442,2.41647,2.70785,0.001934,0.001934,0.001934
7,79.9241,2.29639,2.49685,2.57091,0.55714,0.38636,0.41711,0.19453,2.07894,2.30224,2.6368,0.0019208,0.0019208,0.0019208
8,90.9489,2.24722,2.39285,2.51565,0.62857,0.40909,0.43029,0.19813,1.97829,2.30623,2.56377,0.0019076,0.0019076,0.0019076
9,102.319,2.13968,2.35572,2.41128,0.53877,0.41593,0.43805,0.21847,1.96748,2.21248,2.51548,0.0018944,0.0018944,0.0018944
10,113.826,2.12572,2.25632,2.37726,0.51471,0.4697,0.46256,0.22668,2.01811,2.08666,2.58999,0.0018812,0.0018812,0.0018812
11,125.143,2.05963,2.12239,2.33408,0.44912,0.41667,0.37605,0.17286,1.87135,2.08926,2.40189,0.001868,0.001868,0.001868
12,136.517,2.03022,2.15483,2.30439,0.43716,0.50758,0.46514,0.20516,1.9227,2.01439,2.45663,0.0018548,0.0018548,0.0018548
13,147.278,1.9904,2.09807,2.28141,0.48561,0.43182,0.4118,0.20787,1.86605,2.52854,2.36131,0.0018416,0.0018416,0.0018416
14,158.555,1.93012,2.09018,2.20153,0.65148,0.47727,0.56066,0.29848,1.70933,1.86809,2.32298,0.0018284,0.0018284,0.0018284
15,169.866,1.90019,1.92241,2.18208,0.55588,0.44697,0.49282,0.21563,1.81039,2.0649,2.34314,0.0018152,0.0018152,0.0018152
16,181.28,1.84691,1.94492,2.13604,0.6409,0.54545,0.57338,0.31456,1.58008,1.88766,2.10914,0.001802,0.001802,0.001802
17,192.628,1.8228,1.87034,2.12022,0.52579,0.61319,0.55424,0.28727,1.73456,1.87506,2.22074,0.0017888,0.0017888,0.0017888
18,203.796,1.80967,1.82449,2.10194,0.59773,0.57576,0.58567,0.30088,1.65005,1.81462,2.22563,0.0017756,0.0017756,0.0017756
19,215.323,1.84089,1.922,2.14714,0.62591,0.61364,0.60422,0.34074,1.5245,1.72448,2.09414,0.0017624,0.0017624,0.0017624
20,226.83,1.73417,1.79098,2.04582,0.5308,0.68182,0.56992,0.27951,1.60746,1.81224,2.10059,0.0017492,0.0017492,0.0017492
21,238.323,1.71287,1.83059,2.03871,0.59504,0.70455,0.64728,0.37641,1.51486,1.68797,2.09141,0.001736,0.001736,0.001736
22,249.437,1.68058,1.72774,1.99894,0.473,0.62879,0.5318,0.27661,1.60177,1.76278,2.10648,0.0017228,0.0017228,0.0017228
23,260.538,1.70575,1.73822,2.03116,0.7164,0.63636,0.68265,0.39424,1.50636,1.62252,2.10277,0.0017096,0.0017096,0.0017096
24,271.539,1.60608,1.64307,1.92998,0.60097,0.73024,0.67299,0.39995,1.49948,1.57368,2.02051,0.0016964,0.0016964,0.0016964
25,282.666,1.62782,1.5965,1.91879,0.72995,0.6348,0.705,0.38934,1.52851,1.61814,2.02075,0.0016832,0.0016832,0.0016832
26,293.898,1.62851,1.59206,1.92545,0.66956,0.64394,0.66372,0.36998,1.54802,1.6366,2.06219,0.00167,0.00167,0.00167
27,304.958,1.64307,1.67093,1.93347,0.75289,0.64631,0.70784,0.41367,1.47207,1.53549,1.96707,0.0016568,0.0016568,0.0016568
28,316.219,1.58491,1.61813,1.89026,0.70446,0.70455,0.68074,0.40164,1.45629,1.52239,1.94365,0.0016436,0.0016436,0.0016436
29,327.442,1.60555,1.58449,1.91123,0.67667,0.7197,0.71145,0.40498,1.48225,1.50118,1.9964,0.0016304,0.0016304,0.0016304
30,338.535,1.58133,1.58053,1.8935,0.65454,0.71771,0.70439,0.40399,1.52951,1.5546,2.00548,0.0016172,0.0016172,0.0016172
31,349.856,1.58542,1.60121,1.88635,0.73461,0.68939,0.7309,0.47235,1.358,1.37046,1.87471,0.001604,0.001604,0.001604
32,360.979,1.56749,1.54492,1.87123,0.78695,0.67162,0.75314,0.4483,1.41985,1.37618,1.88249,0.0015908,0.0015908,0.0015908
33,372.057,1.55738,1.52278,1.88514,0.73493,0.70455,0.73312,0.43566,1.48117,1.41426,2.03133,0.0015776,0.0015776,0.0015776
34,383.458,1.5152,1.4976,1.85667,0.74081,0.71455,0.75135,0.46286,1.35479,1.39686,1.87925,0.0015644,0.0015644,0.0015644
35,394.836,1.49863,1.49802,1.83269,0.82211,0.65909,0.78064,0.47586,1.38215,1.42071,1.9062,0.0015512,0.0015512,0.0015512
36,406.03,1.50028,1.48133,1.8303,0.72584,0.74212,0.75056,0.4256,1.44437,1.45621,1.92375,0.001538,0.001538,0.001538
37,417.314,1.4814,1.44832,1.84359,0.72097,0.72426,0.78943,0.47599,1.3601,1.28735,1.82703,0.0015248,0.0015248,0.0015248
38,428.887,1.50353,1.44144,1.81831,0.66511,0.75,0.73191,0.44714,1.41068,1.4595,1.87716,0.0015116,0.0015116,0.0015116
39,439.974,1.49762,1.45873,1.81226,0.86962,0.65152,0.79238,0.4629,1.3941,1.33709,1.8845,0.0014984,0.0014984,0.0014984
40,450.987,1.47363,1.36525,1.81422,0.75283,0.71533,0.78439,0.49723,1.33132,1.28128,1.8339,0.0014852,0.0014852,0.0014852
41,462.103,1.44402,1.39867,1.76637,0.79422,0.65909,0.75584,0.47285,1.33577,1.30705,1.82065,0.001472,0.001472,0.001472
42,473.27,1.45227,1.3374,1.7719,0.71431,0.70085,0.73378,0.49454,1.24764,1.39669,1.75767,0.0014588,0.0014588,0.0014588
43,484.792,1.44055,1.36763,1.75642,0.7729,0.74242,0.80466,0.50368,1.37003,1.25252,1.81973,0.0014456,0.0014456,0.0014456
44,496.429,1.42086,1.33791,1.72519,0.75587,0.77404,0.8182,0.54374,1.22362,1.14176,1.72432,0.0014324,0.0014324,0.0014324
45,507.479,1.41793,1.33105,1.71359,0.70618,0.69193,0.7367,0.4814,1.28857,1.30585,1.76256,0.0014192,0.0014192,0.0014192
