epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3762,3.84958,4.8688,4.08655,0.00013,0.03788,7e-05,2e-05,3.6006,4.73306,4.27189,0.00065873,0.00065873,0.00065873
2,23.8264,3.13493,3.6383,3.4205,0.28129,0.06061,0.05882,0.0204,3.32884,4.227,6.71349,0.00131665,0.00131665,0.00131665
3,35.2806,2.85464,3.18145,3.08245,0.25401,0.26515,0.18349,0.06366,2.49471,2.9004,3.22653,0.00196577,0.00196577,0.00196577
4,46.5073,2.68893,2.89821,2.93889,0.40605,0.35606,0.2619,0.0973,2.42116,2.75345,3.0224,0.0019604,0.0019604,0.0019604
5,57.8044,2.58078,2.66749,2.78647,0.2566,0.33333,0.19057,0.07576,2.33446,2.61238,2.92157,0.0019472,0.0019472,0.0019472
6,69.0046,2.35964,2.51886,2.63596,0.45251,0.33333,0.36538,0.14313,2.13659,2.55513,2.70388,0.001934,0.001934,0.001934
7,80.1476,2.28278,2.38845,2.56306,0.4637,0.41923,0.36023,0.15725,2.22444,2.74247,2.79036,0.0019208,0.0019208,0.0019208
8,91.4725,2.27082,2.33972,2.52581,0.52323,0.38636,0.44728,0.20843,1.98715,2.18959,2.56145,0.0019076,0.0019076,0.0019076
9,102.999,2.1295,2.29648,2.43948,0.54615,0.5,0.50678,0.2395,1.94822,2.08838,2.51295,0.0018944,0.0018944,0.0018944
10,114.679,2.12156,2.22998,2.42689,0.49337,0.48485,0.47376,0.24303,1.82248,2.11728,2.41021,0.0018812,0.0018812,0.0018812
11,125.947,2.02806,2.06424,2.32278,0.34903,0.44697,0.36464,0.17099,1.83206,2.17063,2.35698,0.001868,0.001868,0.001868
12,137.51,2.05635,2.14629,2.36964,0.62004,0.50758,0.53398,0.25687,1.75254,1.97515,2.36113,0.0018548,0.0018548,0.0018548
13,148.327,1.9463,2.04104,2.2686,0.55197,0.55068,0.54737,0.30162,1.72154,2.04766,2.28156,0.0018416,0.0018416,0.0018416
14,159.56,1.92117,1.96611,2.22014,0.63206,0.49454,0.52267,0.24764,1.86726,1.9796,2.44296,0.0018284,0.0018284,0.0018284
15,170.79,1.87942,1.86186,2.20254,0.57982,0.5,0.53627,0.26473,1.79303,2.07168,2.41657,0.0018152,0.0018152,0.0018152
16,181.97,1.85294,1.93696,2.1681,0.52889,0.61364,0.5539,0.31015,1.59222,1.94544,2.20482,0.001802,0.001802,0.001802
17,193.325,1.83478,1.86816,2.17325,0.62252,0.5997,0.60358,0.33557,1.75726,1.79832,2.32273,0.0017888,0.0017888,0.0017888
18,204.466,1.79341,1.75488,2.10308,0.63138,0.62879,0.64538,0.3726,1.59421,1.73442,2.21541,0.0017756,0.0017756,0.0017756
19,215.852,1.80127,1.83115,2.13848,0.44852,0.61364,0.55391,0.30669,1.57533,1.76339,2.16285,0.0017624,0.0017624,0.0017624
20,227.264,1.72794,1.72371,2.07715,0.70659,0.65152,0.6828,0.35786,1.65486,1.65327,2.26382,0.0017492,0.0017492,0.0017492
21,238.728,1.73628,1.74383,2.07608,0.74971,0.58333,0.68196,0.38513,1.59604,1.60411,2.16974,0.001736,0.001736,0.001736
