epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9718,3.91649,4.92698,4.15887,0.00018,0.05303,0.0001,2e-05,3.4565,4.73505,4.15505,0.00065873,0.00065873,0.00065873
2,23.198,3.15583,3.94861,3.41515,0.06821,0.18939,0.03485,0.01037,2.84435,4.33859,3.45115,0.00131665,0.00131665,0.00131665
3,34.222,2.96529,3.4624,3.03343,0.21589,0.15909,0.11854,0.03627,2.62453,3.06642,3.38576,0.00196577,0.00196577,0.00196577
4,45.278,2.72724,3.21591,2.86207,0.00221,0.17424,0.00169,0.00056,3.27531,33.4727,7.34858,0.0019604,0.0019604,0.0019604
5,56.3341,2.66273,3.01984,2.76099,0.35587,0.18182,0.15354,0.04688,2.36148,2.83874,2.79509,0.0019472,0.0019472,0.0019472
6,67.4541,2.45134,2.75343,2.61496,0.34311,0.25758,0.24105,0.09399,2.30174,2.50225,2.71447,0.001934,0.001934,0.001934
7,78.3755,2.38268,2.64709,2.58486,0.26317,0.2803,0.19178,0.07683,2.17715,2.57436,2.67071,0.0019208,0.0019208,0.0019208
8,89.3087,2.35568,2.56286,2.50969,0.48174,0.40152,0.37433,0.16234,2.09261,2.51466,2.4482,0.0019076,0.0019076,0.0019076
9,100.52,2.25601,2.52411,2.40077,0.22985,0.23485,0.11093,0.04995,2.2104,3.58087,2.61482,0.0018944,0.0018944,0.0018944
10,111.892,2.22154,2.4734,2.4066,0.18043,0.25,0.1134,0.04443,2.32905,4.45287,2.617,0.0018812,0.0018812,0.0018812
11,122.748,2.1833,2.32632,2.31467,0.60457,0.40909,0.46152,0.2164,1.99798,2.13255,2.30969,0.001868,0.001868,0.001868
12,133.76,2.12117,2.34005,2.31019,0.41104,0.39394,0.36278,0.16752,1.9778,2.24931,2.29538,0.0018548,0.0018548,0.0018548
13,144.304,2.03002,2.21937,2.21527,0.45191,0.40152,0.35772,0.17391,2.06914,2.35487,2.44116,0.0018416,0.0018416,0.0018416
14,155.112,2.00844,2.21868,2.15503,0.3563,0.44697,0.30816,0.14789,1.89141,2.38631,2.20855,0.0018284,0.0018284,0.0018284
15,166.097,1.95059,2.07027,2.10919,0.4983,0.40152,0.41556,0.18875,1.92501,2.22453,2.28256,0.0018152,0.0018152,0.0018152
16,177.128,1.92535,2.06104,2.09223,0.47225,0.56818,0.49739,0.26016,1.88341,2.40936,2.12992,0.001802,0.001802,0.001802
17,188.406,1.93568,2.07142,2.11618,0.35965,0.42976,0.33751,0.15514,1.84363,2.26888,2.14604,0.0017888,0.0017888,0.0017888
18,199.202,1.90163,1.95492,2.07819,0.68894,0.51515,0.58934,0.29454,1.74069,1.84655,2.0618,0.0017756,0.0017756,0.0017756
19,210.386,1.88835,2.00526,2.0663,0.51837,0.61364,0.59221,0.31837,1.60409,1.91024,1.86539,0.0017624,0.0017624,0.0017624
20,221.528,1.8143,1.91781,1.98,0.62252,0.58721,0.63857,0.34479,1.64547,1.70966,1.93025,0.0017492,0.0017492,0.0017492
21,232.784,1.7982,1.93362,2.00445,0.66621,0.51411,0.61334,0.32458,1.64421,1.82893,2.03083,0.001736,0.001736,0.001736
22,243.549,1.76303,1.86514,1.9429,0.62913,0.54545,0.6034,0.33365,1.65612,1.88966,1.95306,0.0017228,0.0017228,0.0017228
23,254.479,1.7319,1.82891,1.91762,0.5186,0.59578,0.53615,0.24265,1.73718,1.84785,2.00466,0.0017096,0.0017096,0.0017096
24,265.264,1.6787,1.74266,1.87159,0.58709,0.65152,0.62521,0.37766,1.51044,1.66674,1.80962,0.0016964,0.0016964,0.0016964
25,276.219,1.69255,1.7305,1.88424,0.55809,0.66016,0.61097,0.34514,1.54185,1.65039,1.84416,0.0016832,0.0016832,0.0016832
26,287.19,1.67754,1.70349,1.85679,0.71055,0.65152,0.69689,0.40903,1.53647,1.63773,1.81563,0.00167,0.00167,0.00167
