epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,499.683,1.50848,1.50915,1.81904,0.76208,0.70373,0.76288,0.47914,1.3649,1.38795,1.86221,0.0014456,0.0014456,0.0014456
44,511.441,1.51267,1.55902,1.83897,0.77419,0.64394,0.75352,0.47645,1.3772,1.40751,1.87735,0.0014324,0.0014324,0.0014324
45,522.725,1.53997,1.50367,1.8134,0.75635,0.61147,0.72407,0.45836,1.35582,1.37895,1.83964,0.0014192,0.0014192,0.0014192
46,534.206,1.52688,1.45393,1.82652,0.68906,0.68939,0.74857,0.4651,1.3454,1.37052,1.83037,0.001406,0.001406,0.001406
47,545.913,1.50427,1.4982,1.82862,0.68583,0.6946,0.74323,0.47326,1.28522,1.49188,1.77215,0.0013928,0.0013928,0.0013928
48,557.337,1.43666,1.35181,1.73837,0.78107,0.67569,0.77667,0.49369,1.37552,1.30623,1.82087,0.0013796,0.0013796,0.0013796
49,568.972,1.49946,1.43524,1.81104,0.69676,0.65909,0.7086,0.44691,1.31584,1.42191,1.82316,0.0013664,0.0013664,0.0013664
50,580.369,1.48977,1.43434,1.79465,0.76541,0.65152,0.74658,0.45314,1.33354,1.32664,1.86437,0.0013532,0.0013532,0.0013532
51,591.934,1.47576,1.43364,1.79331,0.78559,0.69393,0.77853,0.50652,1.24301,1.2669,1.74431,0.00134,0.00134,0.00134
52,603.708,1.43167,1.39904,1.75018,0.75139,0.73269,0.78056,0.4827,1.3156,1.26232,1.77485,0.0013268,0.0013268,0.0013268
53,615.028,1.47373,1.45857,1.76759,0.78774,0.73103,0.76366,0.50574,1.23471,1.27124,1.73948,0.0013136,0.0013136,0.0013136
54,626.372,1.4074,1.36387,1.7076,0.77796,0.7197,0.7772,0.50366,1.21338,1.2487,1.71532,0.0013004,0.0013004,0.0013004
55,637.692,1.42633,1.38093,1.73552,0.81456,0.66667,0.78534,0.51886,1.23605,1.25588,1.76074,0.0012872,0.0012872,0.0012872
56,649.01,1.44182,1.37126,1.73543,0.79965,0.70455,0.78426,0.52342,1.2246,1.23013,1.73499,0.001274,0.001274,0.001274
57,660.531,1.39978,1.35714,1.72651,0.74976,0.73485,0.76393,0.46188,1.33273,1.31245,1.86599,0.0012608,0.0012608,0.0012608
58,671.903,1.47099,1.41972,1.75578,0.86349,0.7197,0.81542,0.52918,1.28017,1.16365,1.73309,0.0012476,0.0012476,0.0012476
59,683.093,1.42569,1.36425,1.74251,0.77096,0.66667,0.76008,0.4975,1.23921,1.29435,1.7244,0.0012344,0.0012344,0.0012344
