epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,490.685,1.47513,1.34191,1.8791,0.77297,0.69644,0.7908,0.49628,1.36745,1.26284,2.03943,0.0014588,0.0014588,0.0014588
43,502.524,1.43081,1.37484,1.87245,0.80176,0.68182,0.75833,0.4692,1.37541,1.31187,2.0517,0.0014456,0.0014456,0.0014456
44,514.508,1.40494,1.34306,1.83591,0.89332,0.63636,0.81403,0.54054,1.28304,1.18827,1.97915,0.0014324,0.0014324,0.0014324
45,525.872,1.44209,1.3246,1.83402,0.76463,0.65909,0.73838,0.4551,1.29336,1.28977,1.99279,0.0014192,0.0014192,0.0014192
46,537.331,1.38555,1.31225,1.81751,0.77119,0.75758,0.8162,0.51736,1.27314,1.19753,1.93624,0.001406,0.001406,0.001406
47,548.884,1.38869,1.35807,1.82166,0.78482,0.75758,0.83526,0.55531,1.24338,1.1416,1.97337,0.0013928,0.0013928,0.0013928
48,560.573,1.33133,1.19981,1.75526,0.86926,0.68182,0.85202,0.5786,1.23967,1.14584,1.90586,0.0013796,0.0013796,0.0013796
49,572.177,1.35642,1.30714,1.78122,0.80179,0.81061,0.84573,0.54352,1.24022,1.16046,1.9903,0.0013664,0.0013664,0.0013664
50,583.896,1.41819,1.31194,1.82945,0.91497,0.7197,0.8612,0.55997,1.22278,1.07497,1.98918,0.0013532,0.0013532,0.0013532
51,595.589,1.35828,1.26142,1.80801,0.8272,0.78788,0.86278,0.5636,1.23567,1.07961,1.94299,0.00134,0.00134,0.00134
52,607.493,1.35069,1.24127,1.7906,0.79364,0.78665,0.86199,0.56089,1.19628,1.06424,1.90526,0.0013268,0.0013268,0.0013268
53,619.094,1.35357,1.29825,1.78456,0.87617,0.70455,0.84376,0.56119,1.18555,1.07715,1.92776,0.0013136,0.0013136,0.0013136
54,630.993,1.32368,1.15898,1.74972,0.78887,0.79257,0.84547,0.55736,1.23399,1.14175,1.95439,0.0013004,0.0013004,0.0013004
55,642.182,1.29477,1.19338,1.7514,0.85118,0.71212,0.84741,0.55116,1.22721,1.12211,1.89955,0.0012872,0.0012872,0.0012872
56,653.659,1.34933,1.244,1.769,0.84702,0.72727,0.8326,0.57335,1.21694,1.13724,1.91619,0.001274,0.001274,0.001274
57,665.347,1.2993,1.23416,1.75711,0.87013,0.70455,0.83955,0.53764,1.27303,1.15095,2.00047,0.0012608,0.0012608,0.0012608
58,676.925,1.37178,1.26585,1.79925,0.79811,0.77865,0.85378,0.57355,1.16251,1.03309,1.8651,0.0012476,0.0012476,0.0012476
59,688.983,1.31779,1.21315,1.74472,0.82449,0.75758,0.8329,0.56536,1.21078,1.08063,1.96264,0.0012344,0.0012344,0.0012344
60,700.652,1.28704,1.18743,1.71172,0.78898,0.7931,0.86551,0.56949,1.25533,1.0287,1.96967,0.0012212,0.0012212,0.0012212
61,711.943,1.2816,1.14102,1.72933,0.87387,0.76515,0.86953,0.59565,1.16198,1.00662,1.95159,0.001208,0.001208,0.001208
62,723.521,1.28767,1.15199,1.7142,0.81919,0.78942,0.8799,0.60283,1.11814,0.99443,1.9016,0.0011948,0.0011948,0.0011948
63,735.199,1.27628,1.13155,1.72009,0.77899,0.85449,0.8841,0.61753,1.12991,0.94533,1.84063,0.0011816,0.0011816,0.0011816
64,746.868,1.21624,1.13197,1.67374,0.78905,0.83333,0.89801,0.62636,1.12981,0.94513,1.82265,0.0011684,0.0011684,0.0011684
65,758.457,1.26165,1.13342,1.69975,0.81045,0.82576,0.88315,0.61454,1.1607,0.92458,1.88438,0.0011552,0.0011552,0.0011552
66,770.425,1.2546,1.11726,1.7054,0.85696,0.7803,0.87244,0.60981,1.12005,0.9662,1.83318,0.001142,0.001142,0.001142
67,782.025,1.27416,1.12826,1.70076,0.76412,0.78534,0.87377,0.59654,1.11848,0.97517,1.82224,0.0011288,0.0011288,0.0011288
68,794.286,1.24359,1.12589,1.69816,0.78833,0.83333,0.89376,0.6045,1.18445,0.91694,1.89485,0.0011156,0.0011156,0.0011156
69,806.282,1.28351,1.0997,1.73769,0.87216,0.72362,0.87884,0.60312,1.18023,0.93428,1.89871,0.0011024,0.0011024,0.0011024
70,818.103,1.22524,1.12022,1.66216,0.79271,0.84848,0.89707,0.63659,1.07343,0.88196,1.71219,0.0010892,0.0010892,0.0010892
71,829.486,1.24125,1.14058,1.7106,0.80488,0.78124,0.88248,0.6118,1.10501,0.9255,1.85967,0.001076,0.001076,0.001076
72,841.219,1.22382,1.06839,1.67302,0.80352,0.83333,0.90707,0.62739,1.11044,0.84851,1.88583,0.0010628,0.0010628,0.0010628
73,852.918,1.28016,1.11612,1.71729,0.77415,0.83097,0.8879,0.59556,1.12494,0.88466,1.83601,0.0010496,0.0010496,0.0010496
74,864.384,1.24493,1.10881,1.67779,0.836,0.81096,0.89549,0.62908,1.10796,0.91521,1.81788,0.0010364,0.0010364,0.0010364
75,875.902,1.21837,1.08756,1.67373,0.78427,0.88135,0.90665,0.64127,1.08989,0.88448,1.78722,0.0010232,0.0010232,0.0010232
76,888.175,1.2185,1.03132,1.66976,0.75695,0.87121,0.89213,0.63495,1.09767,0.88688,1.87575,0.00101,0.00101,0.00101
77,899.616,1.17077,1.01286,1.62278,0.82452,0.83333,0.91007,0.64397,1.1179,0.89838,1.79718,0.0009968,0.0009968,0.0009968
78,911.297,1.2206,1.02405,1.6638,0.76517,0.84848,0.89522,0.63271,1.08819,0.91156,1.83966,0.0009836,0.0009836,0.0009836
79,922.585,1.17344,1.0066,1.62742,0.82577,0.86364,0.91624,0.64542,1.09085,0.79344,1.86896,0.0009704,0.0009704,0.0009704
80,933.935,1.21007,0.98634,1.63536,0.83134,0.85886,0.91476,0.65985,1.0765,0.81767,1.81332,0.0009572,0.0009572,0.0009572
81,945.62,1.17984,1.05129,1.61749,0.83421,0.79545,0.88132,0.61065,1.1435,0.8793,1.85383,0.000944,0.000944,0.000944
82,957.333,1.19565,1.02542,1.66971,0.8957,0.7803,0.92309,0.64239,1.11347,0.80586,1.84509,0.0009308,0.0009308,0.0009308
83,968.635,1.16912,1.01109,1.61119,0.77289,0.87121,0.91397,0.64728,1.0583,0.81441,1.79545,0.0009176,0.0009176,0.0009176
84,980.463,1.19363,0.98312,1.64584,0.88214,0.76515,0.89191,0.60907,1.09642,0.88019,1.88144,0.0009044,0.0009044,0.0009044
85,991.949,1.20131,1.00929,1.65951,0.83058,0.86364,0.93003,0.66349,1.06724,0.78849,1.80212,0.0008912,0.0008912,0.0008912
86,1003.69,1.17145,0.95865,1.59655,0.83039,0.89016,0.92331,0.65942,1.04011,0.80313,1.75551,0.000878,0.000878,0.000878
87,1015.7,1.14421,0.97224,1.5937,0.81999,0.85606,0.90988,0.64455,1.07617,0.77588,1.86035,0.0008648,0.0008648,0.0008648
88,1027.16,1.15955,0.99853,1.63274,0.88211,0.87121,0.93987,0.6751,1.01716,0.7259,1.72146,0.0008516,0.0008516,0.0008516
89,1038.93,1.16012,0.94414,1.61695,0.90414,0.80303,0.93941,0.67646,1.01743,0.72408,1.7478,0.0008384,0.0008384,0.0008384
90,1050.38,1.13628,0.95384,1.61292,0.84176,0.88656,0.92823,0.65946,1.05522,0.77145,1.8502,0.0008252,0.0008252,0.0008252
91,1061.93,1.153,0.97009,1.61051,0.83721,0.89614,0.94801,0.6896,0.98672,0.74854,1.74774,0.000812,0.000812,0.000812
92,1073.67,1.15994,0.98085,1.60362,0.78551,0.85606,0.92352,0.67277,1.0255,0.77687,1.75874,0.0007988,0.0007988,0.0007988
93,1085.28,1.13275,0.95021,1.58698,0.86666,0.8371,0.93141,0.67501,1.01564,0.75326,1.75842,0.0007856,0.0007856,0.0007856
94,1096.9,1.10403,0.8983,1.56822,0.84158,0.92424,0.95209,0.69916,1.03714,0.70216,1.77575,0.0007724,0.0007724,0.0007724
95,1108.33,1.13819,0.92725,1.56807,0.82852,0.90909,0.93598,0.68352,1.05772,0.73896,1.78255,0.0007592,0.0007592,0.0007592
96,1119.96,1.13259,0.93491,1.59411,0.92311,0.81859,0.93259,0.67087,1.04496,0.7423,1.7911,0.000746,0.000746,0.000746
97,1131.52,1.10337,0.95936,1.5908,0.83875,0.92424,0.95437,0.70296,0.96283,0.69842,1.70479,0.0007328,0.0007328,0.0007328
98,1143.39,1.13555,0.94586,1.59948,0.77244,0.89394,0.92073,0.66539,1.01198,0.76091,1.74892,0.0007196,0.0007196,0.0007196
99,1154.55,1.10372,0.91472,1.55795,0.8563,0.86364,0.9363,0.70413,0.98793,0.73305,1.72177,0.0007064,0.0007064,0.0007064
100,1166.43,1.12138,0.92085,1.59134,0.84734,0.83333,0.92514,0.68949,0.98145,0.77136,1.68151,0.0006932,0.0006932,0.0006932
101,1177.98,1.11061,0.93962,1.57336,0.85231,0.84848,0.93871,0.7055,0.96872,0.72507,1.69832,0.00068,0.00068,0.00068
102,1189.69,1.08646,0.90063,1.55344,0.91085,0.8514,0.94395,0.69852,0.97167,0.74116,1.69912,0.0006668,0.0006668,0.0006668
103,1201.26,1.06952,0.90072,1.54489,0.8589,0.89394,0.93438,0.68288,0.99852,0.72263,1.70616,0.0006536,0.0006536,0.0006536
104,1213.19,1.05375,0.85643,1.50339,0.91833,0.87879,0.94414,0.70323,0.97359,0.69558,1.72372,0.0006404,0.0006404,0.0006404
105,1224.51,1.06054,0.88686,1.53023,0.92617,0.85533,0.95284,0.71313,0.9417,0.70389,1.63351,0.0006272,0.0006272,0.0006272
