epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,573.403,2.73228,2.64355,3.45044,0.63549,0.58333,0.69931,0.4537,2.43388,2.3572,3.61223,0.0014456,0.0014456,0.0014456
44,585.142,2.67301,2.60294,3.37747,0.66103,0.69438,0.70843,0.47163,2.35845,2.32397,3.47421,0.0014324,0.0014324,0.0014324
45,596.854,2.671,2.57926,3.33586,0.6391,0.62121,0.67815,0.46211,2.49969,2.24384,3.62978,0.0014192,0.0014192,0.0014192
46,608.367,2.63779,2.5604,3.38834,0.65721,0.73485,0.75159,0.50121,2.46886,2.17033,3.68729,0.001406,0.001406,0.001406
47,619.947,2.65439,2.60306,3.41663,0.80181,0.68182,0.78033,0.50861,2.42289,2.19889,3.48442,0.0013928,0.0013928,0.0013928
48,631.581,2.50716,2.27714,3.24022,0.74488,0.7197,0.75981,0.52115,2.30902,2.07876,3.40872,0.0013796,0.0013796,0.0013796
49,643.381,2.59518,2.43435,3.31429,0.69194,0.73485,0.76414,0.54129,2.31874,2.06134,3.45085,0.0013664,0.0013664,0.0013664
50,655.022,2.62706,2.44121,3.34728,0.72618,0.70455,0.75423,0.50486,2.36786,2.01356,3.52226,0.0013532,0.0013532,0.0013532
51,666.823,2.54986,2.36877,3.31979,0.68744,0.74242,0.76134,0.52267,2.3849,1.92946,3.45355,0.00134,0.00134,0.00134
52,678.828,2.57438,2.4349,3.33373,0.74179,0.69644,0.72547,0.48478,2.51371,2.07987,3.58212,0.0013268,0.0013268,0.0013268
53,690.293,2.61548,2.47029,3.33096,0.77749,0.6618,0.77944,0.5446,2.25541,2.00584,3.35535,0.0013136,0.0013136,0.0013136
54,701.977,2.50447,2.23632,3.2426,0.70104,0.68182,0.73246,0.49033,2.23098,2.08358,3.33384,0.0013004,0.0013004,0.0013004
55,713.427,2.51286,2.29027,3.26761,0.69992,0.68914,0.74659,0.52326,2.21763,2.00008,3.40031,0.0012872,0.0012872,0.0012872
56,725.064,2.54901,2.3618,3.27021,0.72237,0.6899,0.73869,0.51071,2.20251,1.96874,3.33403,0.001274,0.001274,0.001274
57,736.791,2.4979,2.29001,3.24032,0.79923,0.69697,0.82392,0.57185,2.26964,1.76973,3.33904,0.0012608,0.0012608,0.0012608
58,748.421,2.58943,2.34802,3.28552,0.74549,0.78788,0.80638,0.58086,2.0679,1.80028,3.21911,0.0012476,0.0012476,0.0012476
59,760.141,2.51324,2.24386,3.21605,0.7091,0.74242,0.76426,0.52448,2.31471,1.95605,3.42551,0.0012344,0.0012344,0.0012344
60,771.777,2.43161,2.14407,3.1673,0.77279,0.65909,0.76377,0.52645,2.26313,1.87634,3.35404,0.0012212,0.0012212,0.0012212
61,783.148,2.41994,2.09838,3.1495,0.71013,0.7803,0.81358,0.58912,2.12042,1.67874,3.21707,0.001208,0.001208,0.001208
62,794.616,2.43846,2.17005,3.17052,0.78668,0.66667,0.76066,0.5511,2.10463,2.06094,3.25869,0.0011948,0.0011948,0.0011948
63,806.437,2.4004,2.22343,3.13866,0.72748,0.72727,0.78708,0.56944,2.03438,1.73257,3.13001,0.0011816,0.0011816,0.0011816
64,818.157,2.31338,2.05935,3.07658,0.77948,0.7197,0.77759,0.54526,2.09352,1.76742,3.17752,0.0011684,0.0011684,0.0011684
65,829.736,2.38351,2.1451,3.12304,0.77642,0.73485,0.82897,0.59898,2.03998,1.70533,3.12107,0.0011552,0.0011552,0.0011552
66,841.642,2.32858,2.01738,3.07481,0.76873,0.76515,0.82397,0.60593,1.9733,1.66722,3.02688,0.001142,0.001142,0.001142
67,853.443,2.34362,2.11204,3.10525,0.77013,0.70455,0.81604,0.59228,1.92714,1.73221,3.08869,0.0011288,0.0011288,0.0011288
68,865.612,2.38153,2.11354,3.15044,0.7652,0.80303,0.84812,0.63193,1.95126,1.59085,3.07578,0.0011156,0.0011156,0.0011156
69,877.37,2.3784,2.02807,3.11739,0.83333,0.68939,0.83512,0.60508,2.03207,1.66261,3.15609,0.0011024,0.0011024,0.0011024
70,889.14,2.32835,2.04217,3.06382,0.80079,0.75758,0.84034,0.60434,2.04671,1.65865,3.12292,0.0010892,0.0010892,0.0010892
71,900.557,2.39816,2.10851,3.15218,0.71227,0.81818,0.79265,0.57287,2.00964,1.75433,3.10518,0.001076,0.001076,0.001076
72,912.198,2.31384,2.00229,3.04877,0.80734,0.74242,0.83212,0.59675,2.09315,1.61809,3.11723,0.0010628,0.0010628,0.0010628
73,924.105,2.35147,2.06377,3.10156,0.67202,0.81061,0.81394,0.58379,1.97633,1.62113,3.14887,0.0010496,0.0010496,0.0010496
74,936.196,2.33699,2.10032,3.10114,0.7658,0.71212,0.82208,0.6073,1.95213,1.7366,3.07922,0.0010364,0.0010364,0.0010364
75,947.742,2.31309,1.97365,3.07712,0.71843,0.81818,0.83633,0.59738,2.03634,1.56851,3.15392,0.0010232,0.0010232,0.0010232
76,959.992,2.28288,1.91996,3.06558,0.82605,0.75758,0.88073,0.62584,2.05495,1.5064,3.16457,0.00101,0.00101,0.00101
77,971.633,2.20052,1.87624,2.979,0.80298,0.8028,0.88187,0.64955,1.94465,1.44755,3.05137,0.0009968,0.0009968,0.0009968
78,983.136,2.24013,1.82648,2.99846,0.75928,0.78788,0.86491,0.63206,1.94756,1.5368,3.09764,0.0009836,0.0009836,0.0009836
79,994.475,2.2485,1.85905,3.00821,0.83059,0.74285,0.87548,0.66441,1.88867,1.50677,3.0242,0.0009704,0.0009704,0.0009704
80,1005.8,2.25666,1.84412,2.99138,0.75235,0.80552,0.86381,0.63134,2.03877,1.51149,3.12557,0.0009572,0.0009572,0.0009572
81,1017.43,2.19615,1.89227,2.98171,0.76569,0.84848,0.87489,0.64652,1.98868,1.41695,3.11392,0.000944,0.000944,0.000944
82,1028.97,2.18125,1.83427,2.98929,0.86179,0.81818,0.89357,0.66253,1.97361,1.35239,3.04407,0.0009308,0.0009308,0.0009308
83,1040.3,2.2122,1.81809,2.94869,0.84501,0.76515,0.87554,0.66438,1.94295,1.41323,2.96401,0.0009176,0.0009176,0.0009176
84,1051.89,2.22917,1.82198,3.01394,0.84019,0.75673,0.87041,0.64473,1.85031,1.42203,2.9932,0.0009044,0.0009044,0.0009044
85,1063.1,2.19192,1.82923,2.95175,0.7967,0.7803,0.87202,0.67041,1.80897,1.36004,2.89607,0.0008912,0.0008912,0.0008912
86,1074.68,2.16327,1.76921,2.88705,0.82552,0.82441,0.89296,0.68144,1.87096,1.32007,2.92805,0.000878,0.000878,0.000878
87,1086.5,2.13559,1.70902,2.88775,0.75985,0.84091,0.87094,0.65193,1.92125,1.29984,2.96933,0.0008648,0.0008648,0.0008648
88,1098.06,2.16462,1.75997,2.9355,0.81896,0.75395,0.88066,0.66857,1.86403,1.34308,2.91814,0.0008516,0.0008516,0.0008516
